Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
MARSHALL WACE LLP,HUHTAMÄKI OYJ,FI0009000459,0.97,11/28/2017
OXFORD ASSET MANAGEMENT,OUTOTEC OYJ,FI0009014575,0.69,11/28/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,2.2,11/27/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,2.3,11/27/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,TIKKURILA OY,FI4000008719,0.88,11/27/2017
CAPITAL FUND MANAGEMENT SA,YIT OYJ,FI0009800643,0.5,11/27/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,1.49,11/24/2017
MARSHALL WACE LLP,HUHTAMÄKI OYJ,FI0009000459,1.08,11/24/2017
CAPITAL FUND MANAGEMENT SA,OUTOTEC OYJ,FI0009014575,0.6,11/23/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.55,11/22/2017
JPMORGAN ASSET MANAGEMENT (UK) LTD,AMER SPORTS OYJ,FI0009000285,0.89,11/22/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.65,11/21/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.6,11/21/2017
"SYQUANT CAPITAL, SA SIMPLIFIÉE",YIT OYJ,FI0009800643,0.7,11/21/2017
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.5,11/21/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSO OYJ,FI0009007835,1.02,11/20/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,2.23,11/20/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,0.6,11/20/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.73,11/20/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,1.51,11/20/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,0.6,11/20/2017
GMT CAPITAL CORP,NESTE OYJ,FI0009013296,0.99,11/20/2017
MARSHALL WACE LLP,HUHTAMÄKI OYJ,FI0009000459,1.1,11/17/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,0.54,11/16/2017
"SYQUANT CAPITAL, SA SIMPLIFIÉE",YIT OYJ,FI0009800643,0.64,11/16/2017
"WORLDQUANT, LLC",HUHTAMÄKI OYJ,FI0009000459,0.59,11/16/2017
"WORLDQUANT, LLC",HUHTAMÄKI OYJ,FI0009000459,0.6,11/15/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,1.5,11/14/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,2.1,11/14/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSO OYJ,FI0009007835,0.9,11/14/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.58,11/14/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,0.61,11/13/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,2.01,11/13/2017
CITADEL ADVISORS II LLC,OUTOKUMPU OYJ,FI0009002422,0.49,11/10/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,2.02,11/10/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,0.71,11/09/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,1.43,11/09/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,TIKKURILA OY,FI4000008719,0.99,11/09/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,1.9,11/08/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,CAVERION OYJ,FI4000062781,0.59,11/08/2017
MARSHALL WACE ASIA LIMITED,YIT OYJ,FI0009800643,0.8,11/08/2017
"SYQUANT CAPITAL, SA SIMPLIFIÉE",YIT OYJ,FI0009800643,0.51,11/08/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.58,11/07/2017
CITADEL ADVISORS II LLC,OUTOKUMPU OYJ,FI0009002422,0.51,11/07/2017
CAPITAL FUND MANAGEMENT SA,AMER SPORTS OYJ,FI0009000285,0.5,11/07/2017
MARSHALL WACE LLP,HUHTAMAKI OYJ,FI0009000459,1.01,11/07/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,CAVERION OYJ,FI4000062781,0.6,11/06/2017
"AQR CAPITAL MANAGEMENT, LLC",AMER SPORTS OYJ,FI0009000285,1.4,11/03/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,1.39,11/03/2017
"WORLDQUANT, LLC",TOKMANNI GROUP OYJ,FI4000197934,0.51,11/03/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,1.41,11/03/2017
"WORLDQUANT, LLC",HUHTAMÄKI OYJ,FI0009000459,0.51,11/02/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.87,11/02/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.69,11/02/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,1.9,11/02/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,1.35,11/02/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,1.4,11/02/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,1.84,11/01/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,1.82,11/01/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.72,11/01/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSO OYJ,FI0009007835,0.81,11/01/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.68,11/01/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.69,10/31/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,1.22,10/31/2017
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.47,10/31/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,TIKKURILA OYJ,FI4000008719,1.08,10/31/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.7,10/30/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,1.75,10/30/2017
MARSHALL WACE LLP,HUHTAMAKI OYJ,FI0009000459,0.9,10/30/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,CAVERION OYJ,FI4000062781,0.59,10/27/2017
JPMORGAN ASSET MANAGEMENT (UK) LTD,UPONOR OYJ,FI0009002158,0.32,10/27/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,1.14,10/27/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,UPONOR OYJ,FI0009002158,0.47,10/27/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSO OYJ,FI0009007835,0.72,10/26/2017
CITADEL ADVISORS LLC,OUTOKUMPU,FI0009002422,1.05,10/26/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.66,10/26/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.79,10/26/2017
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.58,10/26/2017
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.34,10/26/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,0.9,10/25/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,1.6,10/24/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,HUHTAMÄKI OYJ,FI0009000459,0.49,10/24/2017
MARSHALL WACE LLP,HUHTAMÄKI OYJ,FI0009000459,0.81,10/24/2017
"MARBLE ARCH INVESTMENTS, LP",STORA ENSO OYJ,FI0009005961,0.57,10/24/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,TIKKURILA OYJ,FI4000008719,1.17,10/24/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,UPONOR OYJ,FI0009002158,0.55,10/24/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,0.89,10/20/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSO OYJ,FI0009007835,0.6,10/19/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,HUHTAMAKI OYJ,FI0009000459,0.59,10/18/2017
CAPITAL FUND MANAGEMENT SA,OUTOTEC OYJ,FI0009014575,0.5,10/18/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,1.31,10/17/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,0.59,10/17/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,0.74,10/17/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.96,10/16/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,HUHTAMAKI OYJ,FI0009000459,0.6,10/13/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.71,10/13/2017
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.6,10/13/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.8,10/12/2017
MARSHALL WACE LLP,HUHTAMAKI OYJ,FI0009000459,0.7,10/12/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,1.5,10/11/2017
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.49,10/10/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.66,10/10/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.06,10/10/2017
"AQR CAPITAL MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.47,10/10/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,0.61,10/10/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,CAVERION OYJ,FI4000062781,0.69,10/10/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,0.51,10/06/2017
"AQR CAPITAL MANAGEMENT, LLC",AMER SPORTS OYJ,FI0009000285,1.39,10/05/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,METSÄ BOARD OYJ,FI0009000665,0.47,10/05/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.17,10/05/2017
"MARBLE ARCH INVESTMENTS, LP",STORA ENSO OYJ,FI0009005961,0.67,10/05/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,METSÄ BOARD OYJ,FI0009000665,0.5,10/04/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,1.49,10/04/2017
MARSHALL WACE LLP,HUHTAMÄKI OYJ,FI0009000459,0.61,10/04/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.79,10/03/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,0.89,10/03/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.25,10/03/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,HUHTAMÄKI OYJ,FI0009000459,0.51,10/02/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,1.29,09/29/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,HUHTAMÄKI OYJ,FI0009000459,0.49,09/29/2017
UBS ASSET MANAGEMENT (UK) LTD,METSO OYJ,FI0009007835,1.19,09/29/2017
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.61,09/27/2017
UBS ASSET MANAGEMENT (UK) LTD,KONECRANES OYJ,FI0009005870,0.42,09/27/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,TIKKURILA OYJ,FI4000008719,1.21,09/27/2017
"AQR CAPITAL MANAGEMENT, LLC",AMER SPORTS OYJ,FI0009000285,1.41,09/26/2017
MARSHALL WACE LLP,HUHTAMÄKI OYJ,FI0009000459,0.5,09/26/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,0.98,09/25/2017
"AQR CAPITAL MANAGEMENT, LLC",AMER SPORTS OYJ,FI0009000285,1.39,09/22/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,1.7,09/21/2017
"AQR CAPITAL MANAGEMENT, LLC",AMER SPORTS OYJ,FI0009000285,1.4,09/21/2017
"AQR CAPITAL MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.59,09/21/2017
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.56,09/20/2017
"TWO CREEKS CAPITAL MANAGEMENT, LP",UPM-KYMMENE OYJ,FI0009005987,0.44,09/20/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.38,09/20/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,0.69,09/19/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.87,09/19/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.9,09/18/2017
CITADEL ADVISORS II LLC,AMER SPORTS OYJ,FI0009000285,0.47,09/18/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,0.7,09/18/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.48,09/18/2017
OXFORD ASSET MANAGEMENT,YIT OYJ,FI0009800643,0.49,09/18/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.68,09/15/2017
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.6,09/15/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.57,09/14/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSO OYJ,FI0009007835,0.59,09/14/2017
JPMORGAN ASSET MANAGEMENT (UK) LTD,KAMUX OYJ,FI4000206750,0.43,09/14/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,HUHTAMÄKI OYJ,FI0009000459,0.59,09/14/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,0.69,09/12/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,1.52,09/12/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,HUHTAMÄKI OYJ,FI0009000459,0.6,09/12/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,0.7,09/11/2017
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.69,09/11/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,1.62,09/11/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,0.69,09/08/2017
SCHRODER INVESTMENT MANAGEMENT LIMITED,OUTOKUMPU OYJ,FI0009002422,0.22,09/08/2017
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.5,09/07/2017
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.5,09/07/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,HUHTAMÄKI OYJ,FI0009000459,0.51,09/07/2017
CITADEL ADVISORS II LLC,AMER SPORTS OYJ,FI0009000285,0.5,09/06/2017
"AQR CAPITAL MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.69,09/06/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.89,09/06/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,1.41,09/05/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSO OYJ,FI0009007835,0.66,09/05/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.77,09/05/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSO OYJ,FI0009007835,0.7,09/04/2017
CITADEL ADVISORS II LLC,AMER SPORTS OYJ,FI0009000285,0.47,09/01/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",OUTOKUMPU OYJ,FI0009002422,0.48,09/01/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.87,08/31/2017
CITADEL ADVISORS II LLC,AMER SPORTS CORPORATION,FI0009000285,0.51,08/31/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,TIKKURILA OY,FI4000008719,1.11,08/31/2017
"AQR CAPITAL MANAGEMENT, LLC",AMER SPORTS OYJ,FI0009000285,1.31,08/30/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,1.3,08/30/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",OUTOKUMPU OYJ,FI0009002422,0.5,08/29/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,1.2,08/28/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.71,08/28/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.97,08/25/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,1.09,08/25/2017
CITADEL ADVISORS II LLC,AMER SPORTS OYJ,FI0009000285,0.49,08/23/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,1.12,08/22/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSO OYJ,FI0009007835,0.6,08/22/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,TIKKURILA OY,FI4000008719,1.01,08/22/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.91,08/21/2017
SWISSARB SA,YIT OYJ,FI0009800643,0.51,08/21/2017
"AQR CAPITAL MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.78,08/18/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,3.03,08/18/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,0.79,08/18/2017
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.48,08/18/2017
CITADEL ADVISORS II LLC,AMER SPORTS OYJ,FI0009000285,0.54,08/18/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,1.04,08/18/2017
SCHRODER INVESTMENT MANAGEMENT LIMITED,OUTOKUMPU OYJ,FI0009002422,0.53,08/17/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.62,08/17/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,1.17,08/17/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSO OYJ,FI0009007835,0.51,08/17/2017
"LUMINUS MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.63,08/17/2017
"AQR CAPITAL MANAGEMENT, LLC",AMER SPORTS OYJ,FI0009000285,1.21,08/17/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,1.57,08/16/2017
OXFORD ASSET MANAGEMENT,YIT OYJ,FI0009800643,0.58,08/16/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,TIKKURILA OY,FI4000008719,0.91,08/16/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,0.9,08/15/2017
SCHRODER INVESTMENT MANAGEMENT LIMITED,AMER SPORTS OYJ,FI0009000285,0.37,08/15/2017
SCHRODER INVESTMENT MANAGEMENT LIMITED,AMER SPORTS OYJ,FI0009000285,0.56,08/14/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,3.12,08/14/2017
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.57,08/14/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,3.46,08/14/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,3.51,08/11/2017
PARVUS ASSET MANAGEMENT EUROPE LIMITED,VALMET OYJ,FI4000074984,0.89,08/11/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,3.03,08/10/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,1.29,08/10/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,0.82,08/10/2017
MILLENNIUM INTERNATIONAL MANAGEMENT LP,OUTOKUMPU OYJ,FI0009002422,0.46,08/09/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,TIKKURILA OY,FI4000008719,0.8,08/09/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,1.6,08/09/2017
ADAGE CAPITAL MANAGEMENT L.P.,NOKIAN RENKAAT OYJ,FI0009005318,0.8,08/08/2017
MILLENNIUM INTERNATIONAL MANAGEMENT LP,OUTOKUMPU OYJ,FI0009002422,0.5,08/08/2017
SCOPIA CAPITAL MANAGEMENT LP,NESTE OYJ,FI0009013296,0.39,08/08/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.8,08/08/2017
SCOPIA CAPITAL MANAGEMENT LP,KONE OYJ,FI0009013403,0.49,08/07/2017
"LUMINUS MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.51,08/04/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,0.88,08/04/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.93,08/04/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.51,08/04/2017
"AQR CAPITAL MANAGEMENT, LLC",AMER SPORTS OYJ,FI0009000285,1.12,08/04/2017
SCOPIA CAPITAL MANAGEMENT LP,NESTE OYJ,FI0009013296,0.57,08/03/2017
SCOPIA CAPITAL MANAGEMENT LP,NESTE OYJ,FI0009013296,0.6,08/02/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.83,08/01/2017
PARVUS ASSET MANAGEMENT EUROPE LIMITED,VALMET OYJ,FI4000074984,0.98,08/01/2017
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.62,08/01/2017
MARSHALL WACE LLP,KESKO OYJ,FI0009000202,0.47,08/01/2017
JPMORGAN ASSET MANAGEMENT (UK) LTD,UPONOR OYJ,FI0009002158,0.5,07/31/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,0.7,07/31/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.71,07/31/2017
"AQR CAPITAL MANAGEMENT, LLC",AMER SPORTS OYJ,FI0009000285,1.03,07/31/2017
"AQR CAPITAL MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.81,07/31/2017
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.56,07/28/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,0.69,07/28/2017
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.49,07/28/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,0.71,07/27/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.75,07/27/2017
CITADEL ADVISORS LLC,OUTOKUMPU,FI0009002422,1.36,07/26/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,0.35,07/26/2017
"LUMINUS MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.43,07/26/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.4,07/26/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,0.8,07/26/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.6,07/26/2017
MARSHALL WACE LLP,KESKO OYJ,FI0009000202,0.59,07/25/2017
CITADEL ADVISORS LLC,OUTOKUMPU,FI0009002422,1.42,07/25/2017
CITADEL ADVISORS II LLC,AMER SPORTS CORPORATION,FI0009000285,0.69,07/25/2017
SCOPIA CAPITAL MANAGEMENT LP,KONE CORPORATION,FI0009013403,0.59,07/25/2017
"TWO CREEKS CAPITAL MANAGEMENT, LP",UPM-KYMMENE OYJ,FI0009005987,0.59,07/25/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.35,07/25/2017
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.44,07/25/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,0.7,07/25/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.65,07/25/2017
"AQR CAPITAL MANAGEMENT, LLC",AMER SPORTS OYJ,FI0009000285,0.91,07/24/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,0.53,07/24/2017
SCHRODER INVESTMENT MANAGEMENT LIMITED,AMER SPORTS OYJ,FI0009000285,0.62,07/24/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,1.39,07/21/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.42,07/21/2017
CITADEL ADVISORS LLC,OUTOKUMPU,FI0009002422,1.5,07/21/2017
"AQR CAPITAL MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.7,07/21/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,0.35,07/21/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,0.66,07/21/2017
"MARBLE ARCH INVESTMENTS, LP",STORA ENSO OYJ,FI0009005961,0.79,07/20/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,1.06,07/20/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,3.68,07/20/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,1.51,07/19/2017
SCHRODER INVESTMENT MANAGEMENT LIMITED,AMER SPORTS OYJ,FI0009000285,0.5,07/19/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,0.96,07/19/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,0.5,07/19/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,0.49,07/18/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,3.87,07/18/2017
"AQR CAPITAL MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.62,07/18/2017
"MARBLE ARCH INVESTMENTS, LP",STORA ENSO OYJ,FI0009005961,0.89,07/17/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,TIKKURILA OY,FI4000008719,0.7,07/17/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,0.89,07/17/2017
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.74,07/14/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,1.4,07/14/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.3,07/14/2017
CITADEL ADVISORS LLC,OUTOKUMPU,FI0009002422,1.44,07/14/2017
UBS ASSET MANAGEMENT (UK) LTD,METSO OYJ,FI0009007835,1.29,07/13/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,1.47,07/13/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,1.38,07/13/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,METSÄ BOARD OYJ,FI0009000665,0.49,07/12/2017
