Position Holder,LEI of Position Holder,Share Issuer,LEI of Share Issuer,ISIN,Net Short Position (%),Position Date
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,ERG SPA,8156004604684CA44A90,IT0001157020,0.61,08/05/2025
ActusRayPartners Limited,254900TFNO6U9PBDZJ82,EUROGROUP LAMINATIONS SPA,8156004FC8565D73AE78,IT0005527616,0.66,14/03/2025
Citadel Advisors LLC,549300SHI4D0QGWI8X45,EUROGROUP LAMINATIONS SPA,8156004FC8565D73AE78,IT0005527616,0.61,26/03/2025
"D. E. Shaw & Co., L.P.",TNWE6LERP1CI9IDAZB80,EUROGROUP LAMINATIONS SPA,8156004FC8565D73AE78,IT0005527616,0.69,12/05/2025
JPMorgan Asset Management (UK) Limited,20FULDKQMC7ZL80LYR79,EUROGROUP LAMINATIONS SPA,8156004FC8565D73AE78,IT0005527616,0.96,19/04/2024
GSA Capital Partners LLP,213800CWAHHW6YYZII58,EUROTECH SPA,815600B283DC6683D832,IT0003895668,0.82,15/11/2024
Helikon Long Short Equity Fund Master ICAV,254900OTH13MKMRM7384,GEOX SPA,815600AA4525479C8138,IT0003697080,1.0,10/01/2025
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,HERA SPA (HOLDING ENERGIA RISORSE AMBIENTE),8156009414FD99443B48,IT0001250932,0.67,15/05/2025
Point72 Europe (London) LLP,549300RHSQCH106OWF77,HERA SPA (HOLDING ENERGIA RISORSE AMBIENTE),8156009414FD99443B48,IT0001250932,0.62,18/03/2025
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.88,06/05/2025
"PDT Partners, LLC",549300WBD0DQZRTLVD96,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.69,09/05/2025
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.5,09/05/2025
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,INTERPUMP GROUP SPA,815600C79D0F31F4D395,IT0001078911,0.5,13/05/2025
Marshall Wace LLP,6BS8JLEICI3VGJ264L55,Iveco Group N.V.,549300ZWF2ZJDD9EOR96,NL0015000LU4,0.49,15/05/2025
Voleon Capital Management LP,549300EJ1ZB4YYIOMD56,JUVENTUS FOOTBALL CLUB SPA,815600A253A0AF58C166,IT0005572778,0.68,15/05/2025
Vor Capital LLP,2549009VBNIQFKIZHL82,MFE-MEDIAFOREUROPE N.V.,213800DIFN7NR7B97A50,NL0015001OJ9,1.13,19/11/2024
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,MONCLER SPA,815600EBD7FB00525B20,IT0004965148,0.5,06/05/2025
Fides,9845009BE4495C68K470,NEXI SPA,5493000P70CQRQG8SN85,IT0005366767,0.74,13/05/2025
ActusRayPartners Limited,254900TFNO6U9PBDZJ82,PIAGGIO & C. SPA,8156000256C2431C2E92,IT0003073266,0.71,08/04/2025
Citadel Advisors Europe Limited,5493003FS3JD468P6Z37,SAIPEM SPA,549300PHV8MBDHWB8X12,IT0005495657,2.11,14/05/2025
Citadel Advisors LLC,549300SHI4D0QGWI8X45,SAIPEM SPA,549300PHV8MBDHWB8X12,IT0005495657,1.1,14/05/2025
"D. E. Shaw & Co., L.P.",TNWE6LERP1CI9IDAZB80,SAIPEM SPA,549300PHV8MBDHWB8X12,IT0005495657,0.88,13/05/2025
Hudson Bay Capital Management LP,219JICTKZM2TR3X24G69,SAIPEM SPA,549300PHV8MBDHWB8X12,IT0005495657,0.62,28/04/2025
SAND GROVE CAPITAL MANAGEMENT LLP,549300EOZ04JQL5Q8E05,SAIPEM SPA,549300PHV8MBDHWB8X12,IT0005495657,0.7,10/04/2025
"Arrowstreet Capital, Limited Partnership",LO3UDTZUG0RICVPFGQ53,SANLORENZO SPA,8156006C71E895860132,IT0003549422,0.5,01/04/2025
Boldhaven Management LLP,213800Q9Y1YY2GCZNZ90,SANLORENZO SPA,8156006C71E895860132,IT0003549422,1.0,30/04/2025
Citadel Advisors LLC,549300SHI4D0QGWI8X45,SOGEFI SPA,5493005HPJ40IY377O47,IT0000076536,0.56,25/04/2025
"D. E. Shaw & Co., L.P.",TNWE6LERP1CI9IDAZB80,ST MICROELECTRONICS NV,213800Z8NOHIKRI42W10,NL0000226223,0.56,12/05/2025
Marshall Wace LLP,6BS8JLEICI3VGJ264L55,ST MICROELECTRONICS NV,213800Z8NOHIKRI42W10,NL0000226223,1.1,13/05/2025
"D. E. Shaw & Co., L.P.",TNWE6LERP1CI9IDAZB80,STELLANTIS NV,549300LKT9PW7ZIBDF31,NL00150001Q9,0.5,21/04/2025
Marshall Wace LLP,6BS8JLEICI3VGJ264L55,STELLANTIS NV,549300LKT9PW7ZIBDF31,NL00150001Q9,0.62,15/05/2025
GSA Capital Partners LLP,213800CWAHHW6YYZII58,TESSELLIS SPA,815600DDD271CA046266,IT0005496473,0.85,01/04/2025
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TINEXTA SPA,815600925CD848EDBA96,IT0005037210,0.51,14/02/2025
ActusRayPartners Limited,254900TFNO6U9PBDZJ82,TINEXTA SPA,815600925CD848EDBA96,IT0005037210,0.9,08/04/2025
"D. E. Shaw & Co., L.P.",TNWE6LERP1CI9IDAZB80,UNIPOL ASSICURAZIONI SPA,8156005CE5E7340CCA86,IT0004810054,0.59,16/04/2025
Fosse Capital Partners LLP,984500BD3I1469S9F489,WEBUILD SPA,549300UKR289DF4UXQ47,IT0003865570,0.65,18/03/2025
LMR Partners LLP,ZKNTRMKPV369G3GYL686,WEBUILD SPA,549300UKR289DF4UXQ47,IT0003865570,0.5,29/04/2025
MIRABELLA FINANCIAL SERVICES LLP,2138001GBION41P49M96,WEBUILD SPA,549300UKR289DF4UXQ47,IT0003865570,0.6,13/05/2025
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,1.2,01/11/2012
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,1.23,05/11/2012
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,1.32,07/11/2012
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,1.45,11/02/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,1.53,27/02/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,1.62,11/03/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,1.73,15/03/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,1.69,12/04/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,1.72,02/05/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,1.69,03/05/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,1.55,06/05/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,1.47,08/05/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,1.35,16/05/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,1.28,12/06/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,1.16,19/07/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,1.08,01/08/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,0.99,22/08/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,0.86,16/09/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,0.79,19/09/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,0.68,09/10/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,0.58,21/10/2013
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,A2A SPA,81560076E3944316DB24,IT0001233417,0.47,07/11/2013
Altair Investment Management Limited,635400BUD34GRHIXFT51,A2A SPA,81560076E3944316DB24,IT0001233417,0.51,17/02/2016
Altair Investment Management Limited,635400BUD34GRHIXFT51,A2A SPA,81560076E3944316DB24,IT0001233417,0.25,31/05/2016
COVALIS CAPITAL LLP,213800VYVNUFHDOEFT08,A2A SPA,81560076E3944316DB24,IT0001233417,0.71,14/02/2025
COVALIS CAPITAL LLP,213800VYVNUFHDOEFT08,A2A SPA,81560076E3944316DB24,IT0001233417,0.84,18/02/2025
COVALIS CAPITAL LLP,213800VYVNUFHDOEFT08,A2A SPA,81560076E3944316DB24,IT0001233417,0.77,25/02/2025
COVALIS CAPITAL LLP,213800VYVNUFHDOEFT08,A2A SPA,81560076E3944316DB24,IT0001233417,0.59,27/02/2025
COVALIS CAPITAL LLP,213800VYVNUFHDOEFT08,A2A SPA,81560076E3944316DB24,IT0001233417,0.36,14/05/2025
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.5,31/05/2018
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.49,12/07/2018
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.5,13/07/2018
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.48,24/07/2018
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.51,31/07/2018
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.6,16/08/2018
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.5,28/08/2018
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.48,30/08/2018
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.5,05/09/2018
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.47,10/09/2018
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.52,17/09/2018
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.61,13/11/2018
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.59,29/11/2018
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.62,06/12/2018
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.59,25/01/2019
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.49,20/02/2019
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.5,21/02/2019
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.49,01/03/2019
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.51,16/03/2020
Carlson Capital UK LLP,549300A6XNMOVIKH7U14,A2A SPA,81560076E3944316DB24,IT0001233417,0.37,19/03/2020
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.5,26/05/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.49,27/05/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.52,28/05/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.6,18/06/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.58,14/07/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.6,16/07/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.7,18/07/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.86,25/07/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.79,07/08/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.65,18/08/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.56,20/08/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.6,21/08/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.57,28/08/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.61,05/09/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.57,11/09/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.49,19/09/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.52,24/09/2014
Kairos Partners SGR Spa,549300J57FPGYEI4IO14,A2A SPA,81560076E3944316DB24,IT0001233417,0.47,08/10/2014
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.54,28/10/2021
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.6,04/11/2021
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.57,16/11/2021
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.67,15/12/2021
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.57,20/12/2021
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.62,22/12/2021
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.7,12/01/2022
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.8,19/01/2022
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.73,27/01/2022
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.81,03/02/2022
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.91,07/02/2022
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.83,01/03/2022
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.71,02/03/2022
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.67,04/03/2022
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.54,08/03/2022
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.47,10/03/2022
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.53,16/02/2024
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.6,23/02/2024
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.58,26/02/2024
Millennium Capital Partners LLP,549300X1IL2SQS14P736,A2A SPA,81560076E3944316DB24,IT0001233417,0.42,05/03/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.5,18/02/2022
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.47,01/03/2022
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.55,29/01/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.6,30/01/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.56,31/01/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.6,02/02/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.72,09/02/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.67,05/03/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.73,13/03/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.69,09/04/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.58,12/04/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.46,17/04/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.52,19/09/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.6,23/09/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.56,27/09/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.49,07/10/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.52,14/03/2025
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.65,20/03/2025
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.73,10/04/2025
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.66,16/04/2025
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.59,22/04/2025
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.47,28/04/2025
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.52,27/08/2018
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.6,31/08/2018
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.56,04/09/2018
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.61,29/10/2018
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.8,13/11/2018
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.77,06/12/2018
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.86,05/04/2019
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.78,13/05/2019
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.48,16/05/2019
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.56,20/05/2019
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.61,21/05/2019
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.72,31/05/2019
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.88,05/07/2019
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.76,18/09/2019
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.66,27/09/2019
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.56,02/10/2019
PICTET ASSET MANAGEMENT SA,549300Z3V8FWSENAH224,A2A SPA,81560076E3944316DB24,IT0001233417,0.47,28/02/2020
"Point72 Asset Management, L.P.",549300GHZ48Y72I6HZ24,A2A SPA,81560076E3944316DB24,IT0001233417,0.5,20/02/2025
"Point72 Asset Management, L.P.",549300GHZ48Y72I6HZ24,A2A SPA,81560076E3944316DB24,IT0001233417,0.6,21/03/2025
"Point72 Asset Management, L.P.",549300GHZ48Y72I6HZ24,A2A SPA,81560076E3944316DB24,IT0001233417,0.46,12/05/2025
Point72 Europe (London) LLP,549300RHSQCH106OWF77,A2A SPA,81560076E3944316DB24,IT0001233417,0.5,24/08/2021
Point72 Europe (London) LLP,549300RHSQCH106OWF77,A2A SPA,81560076E3944316DB24,IT0001233417,0.6,03/09/2021
Point72 Europe (London) LLP,549300RHSQCH106OWF77,A2A SPA,81560076E3944316DB24,IT0001233417,0.59,06/09/2021
Point72 Europe (London) LLP,549300RHSQCH106OWF77,A2A SPA,81560076E3944316DB24,IT0001233417,0.61,07/09/2021
Point72 Europe (London) LLP,549300RHSQCH106OWF77,A2A SPA,81560076E3944316DB24,IT0001233417,0.59,08/09/2021
Point72 Europe (London) LLP,549300RHSQCH106OWF77,A2A SPA,81560076E3944316DB24,IT0001233417,0.61,10/09/2021
Point72 Europe (London) LLP,549300RHSQCH106OWF77,A2A SPA,81560076E3944316DB24,IT0001233417,0.39,15/09/2021
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,1.03,01/11/2022
